,Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category,Route_enco,Oppt_enco,Cmpt_enco
60885,7503880,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,35,Loss,4,30,30,210000,3,3,0,Unknown,0.347826,0.043478,0.608696,5,0,0,2
60910,7506796,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,64,Loss,2,0,0,8000,1,1,0,Unknown,1.0,0.0,0.0,1,0,0,2
60991,7510899,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,59,Loss,5,4,4,105000,1,1,0,Unknown,0.365854,0.512195,0.121951,5,0,0,2
60993,7510907,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Loss,3,6,6,15000,1,1,0,Unknown,0.390625,0.609375,0.0,2,0,0,2
61040,7516749,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,64,Won,1,0,0,82307,1,1,1,Unknown,0.0,0.0,0.0,4,2,1,2
61049,7516891,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,43,Loss,3,21,21,30000,1,1,0,Unknown,0.057142999999999985,0.942857,0.0,3,2,0,2
61050,7516918,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,42,Loss,3,22,22,30000,1,1,0,Unknown,0.055556,0.944444,0.0,3,2,0,2
61069,7517371,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,3,48,48,50000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
61131,7521473,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,6,9,9,105000,4,5,0,Unknown,0.082353,0.494118,0.423529,5,0,1,2
61134,7521590,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,59,Loss,2,5,5,50000,1,4,0,Known,0.0,1.0,0.0,4,0,0,0
61140,7523962,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,4,47,47,15000,3,2,0,Known,0.0,0.006342,0.993658,2,2,0,0
61159,7524333,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,3,47,47,30000,1,1,0,None,0.0,1.0,0.0,3,2,0,1
61166,7524511,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,6,6,20000,2,1,3,Unknown,0.0,0.114754,0.8852459999999999,2,0,1,2
61197,7527072,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,4,20,20,5000,1,1,0,None,0.474747,0.525253,0.0,1,2,0,1
61229,7527752,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,3,47,47,60000,1,1,0,None,0.0,1.0,0.0,4,2,0,1
61404,7542678,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,2,10,10,150000,1,1,0,Unknown,0.0,1.0,0.0,5,0,0,2
61508,7553023,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,2,19,19,40000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
61547,7556831,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,37,Won,3,26,8,56863,1,1,0,Unknown,0.0,0.326848,0.0,4,2,1,2
61699,7568422,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,56,Won,3,6,6,35000,1,1,4,Unknown,0.0,0.344828,0.655172,3,0,1,2
61702,7568517,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,55,Won,3,7,7,43395,1,1,0,None,0.0,0.538462,0.461538,3,2,1,1
61719,7569138,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,55,Loss,3,3,3,30000,1,1,0,Known,0.0,0.0,1.0,3,0,0,0
61743,7572707,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,3,18,18,7000,1,1,0,Unknown,0.274725,0.725275,0.0,1,2,0,2
61848,7579871,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Won,2,16,16,15600,1,1,0,None,0.0,1.0,0.0,2,2,1,1
61861,7580264,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Loss,2,17,17,150000,1,1,4,Unknown,1.0,0.0,0.0,5,0,0,2
61938,7586945,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,16,Loss,2,45,45,30000,1,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
61943,7587102,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Loss,3,15,15,20000,1,1,0,None,0.0,0.813333,0.186667,2,2,0,1
61948,7587421,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,57,Loss,3,4,4,2000,1,1,0,Unknown,0.159091,0.840909,0.0,1,2,0,2
61955,7590977,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,3,18,18,43000,1,1,0,Unknown,0.0,0.005714,0.994286,3,2,0,2
61986,7591962,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Loss,2,3,3,120000,1,1,3,Unknown,0.0,1.0,0.0,5,0,0,2
61994,7592585,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Loss,2,16,16,110000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
62014,7595416,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,55,Won,3,6,6,345000,1,1,4,Unknown,0.0,0.098361,0.901639,6,2,1,2
62066,7601663,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,29,Loss,3,32,32,5000,1,1,0,Unknown,0.012698,0.987302,0.0,1,2,0,2
62148,7609256,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,4,35,35,50000,1,1,0,Unknown,0.074713,0.925287,0.0,4,2,0,2
62149,7609270,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,2,8,8,50000,1,1,0,Unknown,1.0,0.0,0.0,4,0,0,2
62192,7613196,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,52,Loss,3,8,8,100000,1,1,0,None,0.0,0.22619,0.77381,5,0,0,1
62253,7616189,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,43,Loss,2,17,17,35000,1,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
62322,7621353,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,56,Loss,2,4,4,40000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
62324,7621361,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Loss,2,14,14,50000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
62325,7621396,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,60,Loss,1,0,0,100000,1,1,0,Unknown,0.0,0.0,0.0,5,2,0,2
62355,7622512,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,4,16,16,40000,1,1,0,Unknown,0.0,0.8930819999999999,0.106918,3,2,0,2
62401,7627506,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,6,33,33,50000,1,1,0,Unknown,0.05988,0.847305,0.092814,4,2,0,2
62414,7630344,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,58,Loss,2,2,2,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
62437,7630995,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,46,Won,2,14,14,120,1,1,4,Known,1.0,0.0,0.0,1,0,1,0
62465,7633767,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,30,Loss,3,5,5,417000,1,1,2,Known,0.0,1.0,0.0,6,2,0,0
62508,7636940,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,58,Won,2,2,2,100000,1,1,2,Unknown,0.0,1.0,0.0,5,2,1,2
62553,7640760,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,56,Won,3,3,3,94913,1,1,1,Unknown,0.0,0.882353,0.0,4,2,1,2
62572,7641426,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,49,Loss,3,9,9,200000,1,1,0,Unknown,0.0,0.0,1.0,5,0,0,2
62573,7641447,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,27,Loss,4,32,32,40000,1,1,0,None,0.0,0.728395,0.27160500000000004,3,2,0,1
62629,7649560,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,35,Loss,2,24,24,30000,1,1,0,Unknown,1.0,0.0,0.0,3,2,0,2
62650,7650296,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,20,Loss,7,36,36,50000,1,1,0,Known,0.061625,0.938375,0.0,4,2,0,0
62655,7650311,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,43,Loss,2,16,16,50000,1,1,0,Unknown,1.0,0.0,0.0,4,0,0,2
62702,7652699,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,5,4,2,62000,1,1,3,Unknown,0.0,0.473684,0.157895,4,0,1,2
62710,7654417,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,43,Loss,2,15,15,50000,1,1,0,Unknown,1.0,0.0,0.0,4,0,0,2
62711,7654432,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,40,Loss,4,18,18,50000,1,1,0,Unknown,0.79235,0.20765,0.0,4,2,0,2
62738,7657718,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Loss,2,12,12,270000,1,1,0,Unknown,0.0,1.0,0.0,6,2,0,2
62747,7657877,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,45,Loss,2,13,13,30000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
62767,7658489,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,40,Loss,8,6,6,45000,1,1,0,Unknown,0.018182,0.8545450000000001,0.127273,3,2,0,2
62771,7658559,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Loss,3,14,14,20000,1,1,0,Unknown,0.4100720000000001,0.589928,0.0,2,0,0,2
62785,7658804,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,39,Won,5,1,1,0,1,1,1,Unknown,0.0,0.0,0.875,1,1,1,2
62870,7666570,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,40,Loss,2,18,18,92000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
62872,7666616,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,33,Loss,2,25,25,25000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
62887,7666872,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,52,Loss,2,6,6,50000,1,1,0,Unknown,0.0,1.0,0.0,4,0,0,2
62898,7667146,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,16,Loss,2,42,42,30000,1,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
62902,7667318,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,48,Loss,2,10,10,58000,1,1,0,Unknown,1.0,0.0,0.0,4,0,0,2
62905,7669868,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,35,Loss,2,24,24,30000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
62949,7670842,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,37,Won,2,21,21,140000,1,1,2,Unknown,0.0,0.0,1.0,5,0,1,2
62961,7673400,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,53,Loss,2,5,5,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
62969,7673494,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,53,Loss,2,5,5,40000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
62989,7674080,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,42,Loss,3,16,16,100000,1,1,0,Unknown,0.329032,0.670968,0.0,5,0,0,2
63035,7677886,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,29,Loss,4,29,29,30000,1,1,0,Unknown,0.291667,0.027778,0.680556,3,2,0,2
63041,7678130,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,42,Loss,3,15,15,100000,1,1,0,Unknown,0.324675,0.675325,0.0,5,0,0,2
63042,7678137,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,34,Loss,3,23,23,70000,1,1,0,Unknown,0.214592,0.785408,0.0,4,0,0,2
63043,7678144,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,42,Loss,3,15,15,100000,1,1,0,Unknown,0.324675,0.675325,0.0,5,0,0,2
63205,7692753,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,40,Loss,2,17,17,30000,1,1,0,Unknown,1.0,0.0,0.0,3,2,0,2
63215,7692899,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,26,Loss,2,32,32,50000,1,1,0,Unknown,1.0,0.0,0.0,4,0,0,2
63218,7692929,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,26,Loss,3,32,32,30000,1,1,0,Unknown,0.904762,0.095238,0.0,3,0,0,2
63231,7693180,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,39,Won,5,0,0,0,1,1,3,Unknown,0.0,0.0,0.333333,1,1,1,2
63245,7698043,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,3,41,41,60000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
63311,7708989,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,54,Loss,2,3,3,120000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
63382,7713630,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,5,40,40,8000,1,1,0,Unknown,0.0,0.6930689999999999,0.306931,1,2,0,2
63416,7717418,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,3,2,2,50000,1,1,0,Known,0.0,0.0,1.0,4,0,1,0
63445,7720690,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,26,Loss,3,31,5,100000,1,1,0,Unknown,0.0,0.147541,0.0,5,2,0,2
63485,7724018,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,5,40,40,50000,1,1,0,Unknown,0.711779,0.288221,0.0,4,2,0,2
63506,7724366,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,2,4,4,30000,1,1,0,Unknown,0.0,1.0,0.0,3,0,0,2
63534,7724889,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,22,Loss,2,34,34,30000,1,1,0,None,0.0,1.0,0.0,3,0,0,1
63618,7732506,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,46,Loss,3,11,11,120000,1,1,0,Known,0.0,0.314286,0.685714,5,0,0,0
63638,7735233,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,35,Loss,2,22,22,6016,1,1,0,Unknown,0.0,1.0,0.0,1,2,0,2
63661,7735748,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,54,Loss,2,2,2,15000,1,1,0,Unknown,0.0,0.0,1.0,2,0,0,2
63725,7746805,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,3,39,39,100000,1,1,0,Unknown,0.0,1.0,0.0,5,2,0,2
63737,7746971,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,37,Won,4,18,14,479000,1,1,2,Unknown,0.0,0.11413,0.663043,6,0,1,2
63815,7755538,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,43,Loss,3,12,12,15000,1,1,0,Unknown,0.042735,0.957265,0.0,2,2,0,2
63834,7758317,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,6,38,38,50000,1,1,0,Known,0.0,0.398417,0.601583,4,2,0,0
63843,7758541,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,54,Loss,1,0,0,0,1,1,0,Unknown,0.0,0.0,0.0,1,0,0,2
63844,7758601,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,21,Loss,2,33,33,500000,1,1,0,Unknown,0.0,0.0,1.0,7,0,0,2
63846,7758630,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,21,Loss,2,33,33,100000,1,1,0,Known,0.0,0.0,1.0,5,0,0,0
63859,7758747,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,54,Loss,1,0,0,0,1,1,0,Unknown,0.0,0.0,0.0,1,0,0,2
64000,7768614,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,26,Loss,2,28,28,200000,1,1,0,Unknown,0.0,1.0,0.0,5,0,0,2
64019,7771068,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,12,Loss,4,42,42,110000,1,1,2,Known,0.128878,0.656325,0.214797,5,0,0,0
64091,7777354,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,19,Loss,3,34,34,400000,1,1,2,Unknown,0.491228,0.508772,0.0,6,0,0,2
64107,7777841,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,46,Loss,3,7,7,200000,1,1,3,Known,0.09589,0.0,0.90411,5,0,0,0
64141,7781957,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,27,Loss,3,26,26,20000,1,1,0,Unknown,0.0,0.026515,0.973485,2,0,0,2
64147,7782054,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,40,Loss,3,14,14,150000,1,1,0,Known,0.0,0.043478,0.956522,5,0,0,0
64153,7784839,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,41,Loss,2,12,12,25000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
64177,7785399,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,51,Loss,3,3,3,60000,1,1,0,Known,0.0,0.192308,0.807692,4,2,0,0
64181,7785504,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,2,1,1,150000,1,1,0,None,0.0,0.0,1.0,5,0,0,1
64234,7788326,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,2,8,8,150000,1,1,0,None,0.0,1.0,0.0,5,0,1,1
64235,7788333,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,48,Loss,2,5,5,200000,1,1,0,None,0.0,1.0,0.0,5,0,0,1
64265,7791503,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,46,Loss,5,5,5,105000,1,1,0,Known,0.0,0.93617,0.06383,5,0,0,0
64321,7795498,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,25,Loss,2,28,28,4750,1,1,0,Unknown,0.0,0.0,1.0,1,0,0,2
64340,7796493,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,3,9,9,15000,1,1,0,Unknown,0.0,0.010989,0.989011,2,2,0,2
64381,7800924,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,5,Loss,3,48,48,30000,1,1,0,Unknown,0.062762,0.937238,0.0,3,0,0,2
64423,7805051,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,19,Loss,2,34,34,10000,1,1,0,None,0.0,1.0,0.0,2,0,0,1
64426,7805148,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,41,Won,5,6,2,20000,1,1,0,Unknown,0.0,0.125,0.171875,2,0,1,2
64452,7808266,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,41,Loss,2,12,12,105000,1,1,0,None,0.0,1.0,0.0,5,0,0,1
64499,7812281,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,16,Loss,2,36,36,30000,1,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
64522,7814630,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,37,Loss,3,15,15,14850,1,1,0,Unknown,0.0,0.0,1.0,2,1,0,2
64533,7814995,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,49,Loss,2,3,3,120000,1,1,0,None,0.0,0.0,1.0,5,0,0,1
64536,7815037,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,51,Loss,2,1,1,150000,1,1,0,None,0.0,0.0,1.0,5,0,0,1
64539,7815062,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,24,Loss,2,28,28,250000,1,1,0,None,0.0,1.0,0.0,6,0,0,1
64608,7824262,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,18,Loss,2,34,34,100000,1,1,0,Unknown,0.0,1.0,0.0,5,0,0,2
64618,7824471,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,48,Won,6,3,2,10000,1,1,1,Unknown,0.0,0.034483,0.758621,2,2,1,2
64620,7824482,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,28,Loss,3,24,24,230000,1,1,0,Unknown,0.0,0.855967,0.144033,5,0,0,2
64634,7827370,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,35,Won,2,17,17,50000,1,1,0,Unknown,0.0,1.0,0.0,4,2,1,2
64635,7827371,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,35,Loss,2,17,17,40000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
64740,7836050,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,23,Loss,3,28,28,110000,1,1,0,Unknown,0.0,0.02847,0.97153,5,0,0,2
64771,7840051,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,51,Loss,1,0,0,110000,1,1,0,Unknown,0.0,0.0,0.0,5,0,0,2
64772,7840058,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,39,Loss,2,12,12,250000,1,1,0,Unknown,0.0,1.0,0.0,6,0,0,2
64773,7840066,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,1,Loss,3,50,50,120000,1,1,0,Known,0.0,0.302187,0.697813,5,0,0,0
64807,7844198,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,27,Loss,3,24,24,110000,1,1,3,Unknown,0.423868,0.576132,0.0,5,0,0,2
64858,7847857,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,5,Won,5,38,38,110000,1,1,0,Unknown,0.0,0.908854,0.075521,5,0,1,2
64861,7847985,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,4,35,35,30000,1,1,0,Unknown,0.011527,0.988473,0.0,3,2,0,2
64862,7847998,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,13,Loss,5,36,36,30000,1,1,0,Unknown,0.01108,0.98892,0.0,3,2,0,2
65046,7855531,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,39,Won,5,4,4,0,1,1,1,Unknown,0.0,0.8536590000000001,0.02439,1,1,1,2
65062,7855635,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,19,Loss,4,32,32,100000,1,1,0,Unknown,0.0,0.736025,0.263975,5,0,0,2
65074,7855810,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,47,Loss,3,4,4,50000,1,1,0,Unknown,0.0,0.404762,0.595238,4,2,0,2
65138,7856867,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,21,Loss,3,30,30,200000,1,1,0,Unknown,0.7322029999999999,0.267797,0.0,5,0,0,2
65179,7860985,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,34,Won,5,4,3,1,1,1,2,Unknown,0.5428569999999999,0.0,0.428571,1,1,1,2
65180,7861118,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,18,Loss,4,33,33,558000,1,1,0,Known,0.006079,0.647416,0.346505,7,0,0,0
65269,7867812,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,40,Won,4,10,10,27000,1,1,0,Unknown,0.0,0.27722800000000003,0.722772,3,0,1,2
65305,7871764,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,48,Loss,2,2,2,200000,1,1,0,Unknown,0.0,1.0,0.0,5,0,0,2
65356,7875851,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,39,Won,5,3,3,0,1,1,3,Unknown,0.8235290000000001,0.0,0.029412,1,1,1,2
65412,7880494,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,24,Loss,2,26,26,32000,1,1,0,Known,0.0,0.0,1.0,3,0,0,0
65446,7884724,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,19,Loss,2,31,31,600000,1,1,0,Unknown,0.0,1.0,0.0,7,2,0,2
65483,7888395,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Won,3,4,4,17536,1,1,0,Unknown,0.428571,0.0,0.571429,2,2,1,2
65729,7905708,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,13,Loss,3,36,0,35000,1,1,0,Unknown,0.0,0.002793,0.0,3,2,0,2
65746,7906093,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,27,Loss,5,22,22,70000,1,1,0,None,0.0,0.8235290000000001,0.17647100000000002,4,2,0,1
65762,7906564,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,36,Loss,2,13,0,60000,1,1,0,Unknown,0.0,0.0,0.0,4,0,0,2
65777,7906835,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,24,Loss,2,25,25,100000,1,1,0,Unknown,0.0,1.0,0.0,5,0,0,2
65780,7906841,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,49,Loss,2,1,1,70000,1,1,0,Known,0.0,1.0,0.0,4,0,0,0
65806,7909839,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,21,Loss,3,28,28,250000,1,1,0,Unknown,0.101083,0.898917,0.0,6,0,0,2
65827,7910214,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,23,Loss,4,26,13,60000,1,1,0,Unknown,0.0,0.30916,0.19084,4,0,0,2
65898,7914841,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,8,32,30,120000,1,1,0,Unknown,0.0,0.798762,0.123839,5,2,0,2
65914,7918975,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,16,Loss,2,32,32,130000,1,1,0,Unknown,0.0,1.0,0.0,5,0,0,2
65990,7925175,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,39,Won,5,0,0,0,1,1,0,Unknown,0.0,0.0,0.333333,1,1,1,2
66011,7929808,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,16,Loss,2,32,32,56000,1,1,0,None,1.0,0.0,0.0,4,0,0,1
66013,7929828,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,27,Loss,3,21,21,120000,1,1,0,Unknown,0.07142899999999999,0.928571,0.0,5,0,0,2
66075,7936363,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,13,Loss,3,35,0,25000,1,1,0,Known,0.0,0.008570999999999999,0.0,3,2,0,0
66106,7941242,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,13,Won,8,12,12,16000,1,1,0,Unknown,0.016807,0.445378,0.5378149999999999,2,2,1,2
66110,7941300,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,30,Loss,3,7,7,22000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
